book_name,summaries,categories,categories_list,combined_text
Blue Ocean Strategy," talks about a new type of business strategy that doesn’t necessarily rely on gaining a competitive advantage over your rivals, but on innovating your way out of the current market to create your own ocean of opportunities.","management, business, work","['management', 'business', 'work']"," talks about a new type of business strategy that doesn’t necessarily rely on gaining a competitive advantage over your rivals, but on innovating your way out of the current market to create your own ocean of opportunities. management business work"
Blueprint, helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together.,"science, relationships, happiness, motivation","['science', 'relationships', 'happiness', 'motivation']", helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together. science relationships happiness motivation
Body By Science," offers a hands-on approach to fitness and what building a healthy, fit, and strong body implies, all while debunking common myths about training practices that served as a benchmark for gym enthusiasts since the rise of the sports industry.",health,['health']," offers a hands-on approach to fitness and what building a healthy, fit, and strong body implies, all while debunking common myths about training practices that served as a benchmark for gym enthusiasts since the rise of the sports industry. health"
Bold," shows you that exponential technology has democratized the power to change the world and build wealth, by putting it into everyone’s hands and explains which trends entrepreneurs will most benefit from in the future, how to capitalize on them and which challenges are really bold enough to impact us all.","money, business, technology","['money', 'business', 'technology']"," shows you that exponential technology has democratized the power to change the world and build wealth, by putting it into everyone’s hands and explains which trends entrepreneurs will most benefit from in the future, how to capitalize on them and which challenges are really bold enough to impact us all. money business technology"
Boost!, is a guide for becoming more productive at work by using the preparation and performance techniques that world-class athletes use to win gold medals.,"science, happiness, productivity, psychology, motivation, health, business, work","['science', 'happiness', 'productivity', 'psychology', 'motivation', 'health', 'business', 'work']", is a guide for becoming more productive at work by using the preparation and performance techniques that world-class athletes use to win gold medals. science happiness productivity psychology motivation health business work
Bored and Brilliant," explores the idea of how just doing nothing, daydreaming and spacing out can improve our cognitive functions, enhance creativity and original thinking overall while also helping us relieve stress.","productivity, motivation, management, work, mindfulness","['productivity', 'motivation', 'management', 'work', 'mindfulness']"," explores the idea of how just doing nothing, daydreaming and spacing out can improve our cognitive functions, enhance creativity and original thinking overall while also helping us relieve stress. productivity motivation management work mindfulness"
Born A Crime, will inspire you to make great things happen no matter what circumstances you’re born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult.,"biography, politics, motivation, business, education, work","['biography', 'politics', 'motivation', 'business', 'education', 'work']", will inspire you to make great things happen no matter what circumstances you’re born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult. biography politics motivation business education work
Born For This," shows you how to find the work you were meant to do, which actually might consist of many different forms of work over the course of your life, by showing you the power of a side hustle, proper risk-assessment, creating your own job and pursuing all of your passions – one at a time.","happiness, productivity, psychology, motivation, business, creativity, work","['happiness', 'productivity', 'psychology', 'motivation', 'business', 'creativity', 'work']"," shows you how to find the work you were meant to do, which actually might consist of many different forms of work over the course of your life, by showing you the power of a side hustle, proper risk-assessment, creating your own job and pursuing all of your passions – one at a time. happiness productivity psychology motivation business creativity work"
Born To Run," explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training.","science, health","['science', 'health']"," explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training. science health"
Born To Win," explores how planning and preparation is the only way to win in life and shows you how to use these tools in combination with a vision, goals, and thinking positively to become a winner in all aspects of life.","happiness, productivity, motivation, health, work, mindfulness","['happiness', 'productivity', 'motivation', 'health', 'work', 'mindfulness']"," explores how planning and preparation is the only way to win in life and shows you how to use these tools in combination with a vision, goals, and thinking positively to become a winner in all aspects of life. happiness productivity motivation health work mindfulness"
Boss It," is a hands-on guide to entrepreneurship and what running business implies, from motivation, to hard work, consistency, great time management and a series of practical skills that are needed to fully succeed in this environment.","productivity, business, work","['productivity', 'business', 'work']"," is a hands-on guide to entrepreneurship and what running business implies, from motivation, to hard work, consistency, great time management and a series of practical skills that are needed to fully succeed in this environment. productivity business work"
Bounce," shows you that training trumps talent every time, by explaining the science of deliberate practice, the mindset of high performers and how you can use those tools to become a master of whichever skill you choose.","science, productivity, psychology, motivation, education, work","['science', 'productivity', 'psychology', 'motivation', 'education', 'work']"," shows you that training trumps talent every time, by explaining the science of deliberate practice, the mindset of high performers and how you can use those tools to become a master of whichever skill you choose. science productivity psychology motivation education work"
Bounce Back," is a book by Susan Kahn, a business coach who will teach you the psychology of resilience from the perspectives of Greek philosophy, Sigmund Freud, and modern neuroscience, so you can recover quickly from professional blunders of all kinds by changing your thinking.","productivity, psychology, motivation, work, mindfulness","['productivity', 'psychology', 'motivation', 'work', 'mindfulness']"," is a book by Susan Kahn, a business coach who will teach you the psychology of resilience from the perspectives of Greek philosophy, Sigmund Freud, and modern neuroscience, so you can recover quickly from professional blunders of all kinds by changing your thinking. productivity psychology motivation work mindfulness"
Boundaries," explains, with the help of modern psychology and Christian ideals, how to improve your mental health and personal growth by establishing guidelines for self-care that include saying no more often and standing firm in your decisions rather than letting people walk all over you.","relationships, happiness, psychology, communication, mindfulness","['relationships', 'happiness', 'psychology', 'communication', 'mindfulness']"," explains, with the help of modern psychology and Christian ideals, how to improve your mental health and personal growth by establishing guidelines for self-care that include saying no more often and standing firm in your decisions rather than letting people walk all over you. relationships happiness psychology communication mindfulness"
Boys & Sex," shares the best insights that Peggy Orenstein had after two years of asking young men about their sex lives, including why stereotypes make life harder for them, how hookup culture is destroying relationships, and what we as a society can do to help these boys have better, healthier views about and experiences with sex.","relationships, happiness, psychology, motivation, education","['relationships', 'happiness', 'psychology', 'motivation', 'education']"," shares the best insights that Peggy Orenstein had after two years of asking young men about their sex lives, including why stereotypes make life harder for them, how hookup culture is destroying relationships, and what we as a society can do to help these boys have better, healthier views about and experiences with sex. relationships happiness psychology motivation education"
Braiding Sweetgrass, offers some great ways for all of us to take better care of and be more grateful for our planet by explaining the way that Native Americans view and take care of it.,"politics, environment, happiness, health, mindfulness","['politics', 'environment', 'happiness', 'health', 'mindfulness']", offers some great ways for all of us to take better care of and be more grateful for our planet by explaining the way that Native Americans view and take care of it. politics environment happiness health mindfulness
Brain Food," delves into the topic of nutrition and how certain foods and nutrients can affect the well-being of the brain, its memory function, its cognitive capability, and how what we ingest can reverse the brain’s inclination to develop certain diseases.","science, health","['science', 'health']"," delves into the topic of nutrition and how certain foods and nutrients can affect the well-being of the brain, its memory function, its cognitive capability, and how what we ingest can reverse the brain’s inclination to develop certain diseases. science health"
Brain Maker," argues that the relationship between your gut and your mind is stronger than you know, and proves how the microbiome is responsible for your overall health in the long run.","science, health","['science', 'health']"," argues that the relationship between your gut and your mind is stronger than you know, and proves how the microbiome is responsible for your overall health in the long run. science health"
Brain Rules," teaches you how to become more productive at work and life by giving proven facts about how your mind works better with good sleep, exercise, and learning with all the senses.","science, happiness, productivity, psychology, health, mindfulness","['science', 'happiness', 'productivity', 'psychology', 'health', 'mindfulness']"," teaches you how to become more productive at work and life by giving proven facts about how your mind works better with good sleep, exercise, and learning with all the senses. science happiness productivity psychology health mindfulness"
Brain Wash," will show you how to have a more peaceful, contented life by revealing what’s wrong with all of the bad habits that society accepts as normal, how they affect our brains, and the 10-day program you can follow to fix it.","happiness, productivity, psychology, motivation, health, mindfulness","['happiness', 'productivity', 'psychology', 'motivation', 'health', 'mindfulness']"," will show you how to have a more peaceful, contented life by revealing what’s wrong with all of the bad habits that society accepts as normal, how they affect our brains, and the 10-day program you can follow to fix it. happiness productivity psychology motivation health mindfulness"
Brainfluence, will help you get more sales by revealing people’s subconscious thinking and their motivations in the decision-making process they use when buying.,"money, marketing, business, communication","['money', 'marketing', 'business', 'communication']", will help you get more sales by revealing people’s subconscious thinking and their motivations in the decision-making process they use when buying. money marketing business communication
Brainstorm, is a fascinating look into the teenage brain that explains why adolescents act so hormonally and recklessly.,"science, relationships, psychology, communication","['science', 'relationships', 'psychology', 'communication']", is a fascinating look into the teenage brain that explains why adolescents act so hormonally and recklessly. science relationships psychology communication
Brandwashed, will help you make better buying decisions by identifying the psychological tools that marketers use to turn your own brain against you and make you think that you need to buy their products.,"money, psychology, business","['money', 'psychology', 'business']", will help you make better buying decisions by identifying the psychological tools that marketers use to turn your own brain against you and make you think that you need to buy their products. money psychology business
Brave," will help you have the relationships, career, and everything else in life that you’ve always wanted but have been afraid to go for by teaching you how to become more courageous. ","happiness, productivity, motivation, communication, work","['happiness', 'productivity', 'motivation', 'communication', 'work']"," will help you have the relationships, career, and everything else in life that you’ve always wanted but have been afraid to go for by teaching you how to become more courageous.  happiness productivity motivation communication work"
Brave New World," presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance.","science, politics, economics, relationships, happiness, productivity, psychology, education, fiction, religion, technology, mindfulness","['science', 'politics', 'economics', 'relationships', 'happiness', 'productivity', 'psychology', 'education', 'fiction', 'religion', 'technology', 'mindfulness']"," presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance. science politics economics relationships happiness productivity psychology education fiction religion technology mindfulness"
Braving The Wilderness," offers a four-step process to find true belonging through authenticity, bravery, trust, and vulnerability since it’s mostly about learning to stand alone rather than trying to fit in.","relationships, happiness, productivity, psychology, motivation, communication","['relationships', 'happiness', 'productivity', 'psychology', 'motivation', 'communication']"," offers a four-step process to find true belonging through authenticity, bravery, trust, and vulnerability since it’s mostly about learning to stand alone rather than trying to fit in. relationships happiness productivity psychology motivation communication"
Breakfast With Socrates," takes you through an ordinary day in the company of extraordinary minds, by linking each part of it to the core message of one of several great philosophers throughout history, such as Descartes, Nietzsche, Marx, and even Buddha.","happiness, productivity, psychology, creativity","['happiness', 'productivity', 'psychology', 'creativity']"," takes you through an ordinary day in the company of extraordinary minds, by linking each part of it to the core message of one of several great philosophers throughout history, such as Descartes, Nietzsche, Marx, and even Buddha. happiness productivity psychology creativity"
Breath," is a fascinating and helpful guide to understanding the science of breathing, including how doing it slowly and through your nose is best for your lungs and body, and the many proven mental and physical benefits of being more mindful of how you inhale and exhale.","science, health, mindfulness","['science', 'health', 'mindfulness']"," is a fascinating and helpful guide to understanding the science of breathing, including how doing it slowly and through your nose is best for your lungs and body, and the many proven mental and physical benefits of being more mindful of how you inhale and exhale. science health mindfulness"
Brief Answers To The Big Questions," tackles some of the universe’s biggest mysteries, as Hawking explores the laws that govern the cosmos and the future of humankind. ",science,['science']," tackles some of the universe’s biggest mysteries, as Hawking explores the laws that govern the cosmos and the future of humankind.  science"
Broadcasting Happiness," is an encouraging resource that will help you boost your health and happiness in your relationships, work, and community by showing you how to unlock the power of positive words and stories.","science, happiness, productivity, psychology, motivation, health, communication, mindfulness","['science', 'happiness', 'productivity', 'psychology', 'motivation', 'health', 'communication', 'mindfulness']"," is an encouraging resource that will help you boost your health and happiness in your relationships, work, and community by showing you how to unlock the power of positive words and stories. science happiness productivity psychology motivation health communication mindfulness"
Broke Millennial, shows those in their twenties and thirties how to manage their finances so that they can stop scraping by and instead begin to live more confidently when it comes to money.,money,['money'], shows those in their twenties and thirties how to manage their finances so that they can stop scraping by and instead begin to live more confidently when it comes to money. money
Brotopia, motivates you to be fairer in the workplace as an employee or employer by revealing the sad sexist state of Silicon Valley.,"politics, relationships, happiness, productivity, motivation, management, business, work","['politics', 'relationships', 'happiness', 'productivity', 'motivation', 'management', 'business', 'work']", motivates you to be fairer in the workplace as an employee or employer by revealing the sad sexist state of Silicon Valley. politics relationships happiness productivity motivation management business work
Buddha’s Brain," explains how world-changing thought leaders like Moses, Mohammed, Jesus, Gandhi and the Buddha altered their brains with the power of their minds and how you can use the latest findings of neuroscience to do the same and become a more positive, resilient, mindful and happy person.","happiness, psychology, mindfulness","['happiness', 'psychology', 'mindfulness']"," explains how world-changing thought leaders like Moses, Mohammed, Jesus, Gandhi and the Buddha altered their brains with the power of their minds and how you can use the latest findings of neuroscience to do the same and become a more positive, resilient, mindful and happy person. happiness psychology mindfulness"
Building A StoryBrand, is your guide to turning your sales pages and product into an adventure for your clients by identifying the seven steps to successful storytelling as a company and how to craft the clearest message possible so that they will understand and want to be part of it.,"psychology, marketing, business, creativity, communication, work","['psychology', 'marketing', 'business', 'creativity', 'communication', 'work']", is your guide to turning your sales pages and product into an adventure for your clients by identifying the seven steps to successful storytelling as a company and how to craft the clearest message possible so that they will understand and want to be part of it. psychology marketing business creativity communication work
Building Social Business," will teach you how to change the world for the better by starting a company that does good for mankind, giving you all the answers about how they work and how to begin one of your own.","economics, money, business","['economics', 'money', 'business']"," will teach you how to change the world for the better by starting a company that does good for mankind, giving you all the answers about how they work and how to begin one of your own. economics money business"
Built To Last, examines what lies behind the extraordinary success of 18 visionary companies and which principles and ideas they’ve used to thrive for a century.,"motivation, creativity, work","['motivation', 'creativity', 'work']", examines what lies behind the extraordinary success of 18 visionary companies and which principles and ideas they’ve used to thrive for a century. motivation creativity work
Built To Sell, shows you how to become a successful entrepreneur by explaining the steps necessary to grow a small service company and one day sell it.,"money, business, work","['money', 'business', 'work']", shows you how to become a successful entrepreneur by explaining the steps necessary to grow a small service company and one day sell it. money business work
Bullshit Jobs," asserts that roughly two out of every five people are stuck in work that is bereft of purpose, and these workers could suffer psychological damage as a result. ","money, productivity, psychology, business, work, mindfulness","['money', 'productivity', 'psychology', 'business', 'work', 'mindfulness']"," asserts that roughly two out of every five people are stuck in work that is bereft of purpose, and these workers could suffer psychological damage as a result.  money productivity psychology business work mindfulness"
Business Adventures," will teach you how to run a company, invest in the stock market, change jobs, and many other things by sharing some of the most interesting experiences that big companies and their leaders have had over the last century.","economics, money, business, work","['economics', 'money', 'business', 'work']"," will teach you how to run a company, invest in the stock market, change jobs, and many other things by sharing some of the most interesting experiences that big companies and their leaders have had over the last century. economics money business work"
Business Model Generation," teaches you how to start your own company by explaining the details of matching your customer’s needs with your product’s capabilities, managing finances, and everything else involved in the planning stages of entrepreneurship.","money, marketing, business, work","['money', 'marketing', 'business', 'work']"," teaches you how to start your own company by explaining the details of matching your customer’s needs with your product’s capabilities, managing finances, and everything else involved in the planning stages of entrepreneurship. money marketing business work"
Buyology, shows you how to spend less money by revealing the psychological traps that companies use to hack your brain and get you to purchase their products without you even realizing they’re doing it.,"money, psychology, marketing, business","['money', 'psychology', 'marketing', 'business']", shows you how to spend less money by revealing the psychological traps that companies use to hack your brain and get you to purchase their products without you even realizing they’re doing it. money psychology marketing business
Call Sign Chaos," is a review of US foreign policy through the eyes of General Jim Mattis, who led forces in Afghanistan and Iraq.",politics,['politics']," is a review of US foreign policy through the eyes of General Jim Mattis, who led forces in Afghanistan and Iraq. politics"
Can’t Hurt Me," is the story of David Goggins, who went from being overweight and depressed to becoming a record-breaking athlete, inspiring military leader, and world-class personal trainer.","biography, happiness, psychology, motivation, health","['biography', 'happiness', 'psychology', 'motivation', 'health']"," is the story of David Goggins, who went from being overweight and depressed to becoming a record-breaking athlete, inspiring military leader, and world-class personal trainer. biography happiness psychology motivation health"
Capitalism, shows you how the movement of money in the world really works by outlining the dominant system in the world and its origins and future.,"politics, economics, money","['politics', 'economics', 'money']", shows you how the movement of money in the world really works by outlining the dominant system in the world and its origins and future. politics economics money
Capitalism And Freedom, helps you understand some of the most important factors protecting your liberty by outlining the government’s role in economics and how things go best when political entities are small and stay out of the flow of money in a country.,"politics, economics, money","['politics', 'economics', 'money']", helps you understand some of the most important factors protecting your liberty by outlining the government’s role in economics and how things go best when political entities are small and stay out of the flow of money in a country. politics economics money
Carrots And Sticks," explains how you can harness the power of incentives – carrots and sticks – to change your bad behaviors, improve your self-control and reach your long-term goals.","productivity, psychology, motivation","['productivity', 'psychology', 'motivation']"," explains how you can harness the power of incentives – carrots and sticks – to change your bad behaviors, improve your self-control and reach your long-term goals. productivity psychology motivation"
Cashvertising," teaches you how to become an expert at marketing by using techniques like using the power of authority, following the three steps of writing a perfect headline, and appealing to the eight basic desires people have instead of spending millions on ads.","marketing, business","['marketing', 'business']"," teaches you how to become an expert at marketing by using techniques like using the power of authority, following the three steps of writing a perfect headline, and appealing to the eight basic desires people have instead of spending millions on ads. marketing business"
Caste," unveils the hidden cultural and societal rules of our class system, including where it comes from, why it’s so deeply entrenched in society, and how we can dismantle it forever and finally allow all people to have the equality they deserve. ","relationships, motivation, religion, mindfulness","['relationships', 'motivation', 'religion', 'mindfulness']"," unveils the hidden cultural and societal rules of our class system, including where it comes from, why it’s so deeply entrenched in society, and how we can dismantle it forever and finally allow all people to have the equality they deserve.  relationships motivation religion mindfulness"
Catalyst," explains why extraordinary career growth requires the right stimuli at the right time to propel you to the next level, and shows you how to cultivate them.","management, business, work","['management', 'business', 'work']"," explains why extraordinary career growth requires the right stimuli at the right time to propel you to the next level, and shows you how to cultivate them. management business work"
Catch Me If You Can," is the story of how Frank Abagnale, one of the most famous con-artists in history, faked over eight identities, several professions, and cashed over $2.5 million of forged checks in the 1960s, until the police finally caught him at age 21.","biography, creativity","['biography', 'creativity']"," is the story of how Frank Abagnale, one of the most famous con-artists in history, faked over eight identities, several professions, and cashed over $2.5 million of forged checks in the 1960s, until the police finally caught him at age 21. biography creativity"
Change By Design, makes you a better problem solver at every aspect of life by outlining the design thinking process that companies can use to innovate and improve.,"productivity, business, work","['productivity', 'business', 'work']", makes you a better problem solver at every aspect of life by outlining the design thinking process that companies can use to innovate and improve. productivity business work
"Change Your Questions, Change Your Life", will revolutionize your thinking with questions that create a learning mindset. ,"happiness, productivity, psychology, motivation, creativity, communication","['happiness', 'productivity', 'psychology', 'motivation', 'creativity', 'communication']", will revolutionize your thinking with questions that create a learning mindset.  happiness productivity psychology motivation creativity communication
Chaos," is a scientific piece of writing that presents the principles behind the Chaos Theory, which was popularized in the late 20th century and represents a monumental step forward in the area of scientific knowledge and the universe’s evolution overall.","science, motivation, education","['science', 'motivation', 'education']"," is a scientific piece of writing that presents the principles behind the Chaos Theory, which was popularized in the late 20th century and represents a monumental step forward in the area of scientific knowledge and the universe’s evolution overall. science motivation education"
Chaos Monkeys," is a fun behind-the-scenes look that lifts the veil on some of the weird, mysterious and sometimes questionable practices going on behind closed doors of mega startups in Silicon Valley.",business,['business']," is a fun behind-the-scenes look that lifts the veil on some of the weird, mysterious and sometimes questionable practices going on behind closed doors of mega startups in Silicon Valley. business"
Charlie Munger," teaches you the investment approach and ideas about life from Warren Buffett’s business partner and billionaire Charlie Munger, which the two have used for decades to run one of the most successful companies in the world.","biography, money, productivity, psychology","['biography', 'money', 'productivity', 'psychology']"," teaches you the investment approach and ideas about life from Warren Buffett’s business partner and billionaire Charlie Munger, which the two have used for decades to run one of the most successful companies in the world. biography money productivity psychology"
Chasing Excellence," breaks down how world-class athletes achieve the mental strength they need to succeed, highlighting","productivity, psychology, motivation, health, mindfulness","['productivity', 'psychology', 'motivation', 'health', 'mindfulness']"," breaks down how world-class athletes achieve the mental strength they need to succeed, highlighting productivity psychology motivation health mindfulness"
Chasing The Scream," is a scathing review of the failed war on drugs, explaining its history with surprising statistics and identifying new ways that we can think about addiction, recovery, and drug laws.","politics, happiness, psychology, health","['politics', 'happiness', 'psychology', 'health']"," is a scathing review of the failed war on drugs, explaining its history with surprising statistics and identifying new ways that we can think about addiction, recovery, and drug laws. politics happiness psychology health"
Chatter," will help you make sense of the inner mind chatter that frequently takes over your mind, showing you how to quiet negative thoughts, stop overthinking, feel less anxious, and develop useful practices to consistently alleviate negative emotions.","environment, happiness, motivation, health, mindfulness","['environment', 'happiness', 'motivation', 'health', 'mindfulness']"," will help you make sense of the inner mind chatter that frequently takes over your mind, showing you how to quiet negative thoughts, stop overthinking, feel less anxious, and develop useful practices to consistently alleviate negative emotions. environment happiness motivation health mindfulness"
Chernobyl," teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath.","science, politics, management, communication","['science', 'politics', 'management', 'communication']"," teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath. science politics management communication"
Choose Yourself," is a call to give up traditional career paths and take your life into your own hands by building good habits, creating your own career, and making a decision to choose yourself.","relationships, happiness, money, productivity, psychology, motivation, health, business, creativity, education, work","['relationships', 'happiness', 'money', 'productivity', 'psychology', 'motivation', 'health', 'business', 'creativity', 'education', 'work']"," is a call to give up traditional career paths and take your life into your own hands by building good habits, creating your own career, and making a decision to choose yourself. relationships happiness money productivity psychology motivation health business creativity education work"
Collaborative Intelligence," helps you enhance your unique thinking traits and develop an individualized form of intelligence based on what works best for you, what your strengths are, and how you communicate with others.","relationships, productivity, psychology, management, creativity, communication, work, mindfulness","['relationships', 'productivity', 'psychology', 'management', 'creativity', 'communication', 'work', 'mindfulness']"," helps you enhance your unique thinking traits and develop an individualized form of intelligence based on what works best for you, what your strengths are, and how you communicate with others. relationships productivity psychology management creativity communication work mindfulness"
Come As You Are," is sex educator Dr. Emily Nagoski’s explanation of the truth about female sexuality, including the hidden science of what turns women on, why it works, how to utilize this knowledge to improve your sex life, and why sexual myths make you feel inadequate in bed.","relationships, communication","['relationships', 'communication']"," is sex educator Dr. Emily Nagoski’s explanation of the truth about female sexuality, including the hidden science of what turns women on, why it works, how to utilize this knowledge to improve your sex life, and why sexual myths make you feel inadequate in bed. relationships communication"
Comfortably Unaware, is a well-researched compendium on how our food choices and animal agriculture impact the well-being of the whole planet.,"science, politics, environment, health, mindfulness","['science', 'politics', 'environment', 'health', 'mindfulness']", is a well-researched compendium on how our food choices and animal agriculture impact the well-being of the whole planet. science politics environment health mindfulness
Common Sense, is a classic piece of US history that will help you see the importance of societies coming together to form a fair governmental system and how these ideas paved the way for the American revolution.,politics,['politics'], is a classic piece of US history that will help you see the importance of societies coming together to form a fair governmental system and how these ideas paved the way for the American revolution. politics
Common Stocks and Uncommon Profits," paves the way to success for all investors by outlining how to analyse stocks, understand the market, make smart investments and wise money decisions, and profit from them by being patient with the stock market and keeping your money in for the long-term.","money, management, business","['money', 'management', 'business']"," paves the way to success for all investors by outlining how to analyse stocks, understand the market, make smart investments and wise money decisions, and profit from them by being patient with the stock market and keeping your money in for the long-term. money management business"
Company Of One," will teach you how going small, not big when creating your own company will bring you independence, income, and lots of free time without the hassles of having to manage employees, long meetings, and forced growth.","marketing, business, creativity, work","['marketing', 'business', 'creativity', 'work']"," will teach you how going small, not big when creating your own company will bring you independence, income, and lots of free time without the hassles of having to manage employees, long meetings, and forced growth. marketing business creativity work"
Confessions Of An Advertising Man," is the marketing bible of the 60s, written by “the father of advertising,” David Ogilvy to inspire a philosophy of honesty, hard work and ethical behavior in his industry.","marketing, business","['marketing', 'business']"," is the marketing bible of the 60s, written by “the father of advertising,” David Ogilvy to inspire a philosophy of honesty, hard work and ethical behavior in his industry. marketing business"
Conscious Uncoupling, will improve your love life by showing you how to break up the right way and why things are going to be okay after you separate from someone you once loved.,"relationships, happiness, psychology","['relationships', 'happiness', 'psychology']", will improve your love life by showing you how to break up the right way and why things are going to be okay after you separate from someone you once loved. relationships happiness psychology
Contagious," illustrates why certain ideas and products spread better than others by sharing compelling stories from the world of business, social campaigns, and media.","psychology, marketing, business, creativity","['psychology', 'marketing', 'business', 'creativity']"," illustrates why certain ideas and products spread better than others by sharing compelling stories from the world of business, social campaigns, and media. psychology marketing business creativity"
"Content, Inc."," describes a six-step model you can use to do your marketing long before you need it, without even having a product, or spending a lot of money, so your entrepreneurial venture will be a guaranteed success.","marketing, business, creativity","['marketing', 'business', 'creativity']"," describes a six-step model you can use to do your marketing long before you need it, without even having a product, or spending a lot of money, so your entrepreneurial venture will be a guaranteed success. marketing business creativity"
Cooked," is a historical exploration of the four primary elements we use to transform our food, from fire to water, air, and earth, celebrating traditional cooking methods while showing you practical ways to improve your eating habits and prepare more of your own food.","economics, environment, health","['economics', 'environment', 'health']"," is a historical exploration of the four primary elements we use to transform our food, from fire to water, air, and earth, celebrating traditional cooking methods while showing you practical ways to improve your eating habits and prepare more of your own food. economics environment health"
Cosmos," will make you smarter by teaching you the basics of how the universe works, including our own solar system and its history.","science, motivation","['science', 'motivation']"," will make you smarter by teaching you the basics of how the universe works, including our own solar system and its history. science motivation"
Counterclockwise, is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful.,"science, psychology, health","['science', 'psychology', 'health']", is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful. science psychology health
Courage Is Calling," analyzes the actions taken in difficult situations by some of history’s leading figures, thus drawing conclusions about what makes someone courageous and showing you how to become a braver person day-by-day, step-by-step.","happiness, psychology, motivation, business, work","['happiness', 'psychology', 'motivation', 'business', 'work']"," analyzes the actions taken in difficult situations by some of history’s leading figures, thus drawing conclusions about what makes someone courageous and showing you how to become a braver person day-by-day, step-by-step. happiness psychology motivation business work"
Cradle To Cradle," uncovers the hidden problems with manufacturing, how they affect our planet, and what you can do to help by becoming eco-efficient.","politics, environment, business","['politics', 'environment', 'business']"," uncovers the hidden problems with manufacturing, how they affect our planet, and what you can do to help by becoming eco-efficient. politics environment business"
Creative Confidence, helps break the mundanity of everyday work and life by exploring the power that being more innovative has to improve happiness and success in many different areas.,"happiness, money, productivity, motivation, creativity, work","['happiness', 'money', 'productivity', 'motivation', 'creativity', 'work']", helps break the mundanity of everyday work and life by exploring the power that being more innovative has to improve happiness and success in many different areas. happiness money productivity motivation creativity work
Creative Schools, reveals how fundamentally broken our formal education system really is and how we can change our perspective to teach children the competencies and things they actually need to navigate the modern world.,"politics, psychology, creativity, education","['politics', 'psychology', 'creativity', 'education']", reveals how fundamentally broken our formal education system really is and how we can change our perspective to teach children the competencies and things they actually need to navigate the modern world. politics psychology creativity education
"Creativity, Inc."," is an instruction manual for instilling inspiration into employees, managers and bosses, by revealing the hidden forces that get in the way, based on over 30 years of experience of the president of Pixar, Ed Catmull.","management, business, creativity, work","['management', 'business', 'creativity', 'work']"," is an instruction manual for instilling inspiration into employees, managers and bosses, by revealing the hidden forces that get in the way, based on over 30 years of experience of the president of Pixar, Ed Catmull. management business creativity work"
Cribsheet," is a smart guide on how to make the best parenting choices for you and your child, by using an economic perspective and evidence-based advice based on scientific data.","productivity, psychology","['productivity', 'psychology']"," is a smart guide on how to make the best parenting choices for you and your child, by using an economic perspective and evidence-based advice based on scientific data. productivity psychology"
Crippled America, makes you a more informed citizen by sharing the political beliefs and reasoning behind billionaire and businessman Donald J. Trump’s plans to make his country great again.,"politics, education","['politics', 'education']", makes you a more informed citizen by sharing the political beliefs and reasoning behind billionaire and businessman Donald J. Trump’s plans to make his country great again. politics education
Crossing The Chasm," gives high tech startups a marketing blueprint, in order to make their product get the initial traction it needs to eventually reach the majority of the market and not die in the chasm between early adopters and pragmatists.","psychology, marketing, management, business, technology","['psychology', 'marketing', 'management', 'business', 'technology']"," gives high tech startups a marketing blueprint, in order to make their product get the initial traction it needs to eventually reach the majority of the market and not die in the chasm between early adopters and pragmatists. psychology marketing management business technology"
Crucial Conversations, will teach you how to avoid conflict and come to positive solutions in high-stakes conversations so you can be effective in your personal and professional life. ,"relationships, psychology, management, business, communication","['relationships', 'psychology', 'management', 'business', 'communication']", will teach you how to avoid conflict and come to positive solutions in high-stakes conversations so you can be effective in your personal and professional life.  relationships psychology management business communication
